name,rank,city,state,freq
Wal-Mart Stores,1,Bentonville,Arkansas,22
Exxon Mobil Corporation,2,Irving,Texas,22
Apple,3,Cupertino,California,22
Berkshire Hathaway,4,Omaha,Nebraska,22
McKesson Corporation,5,San Francisco,California,22
UnitedHealth Group Incorporated,6,Minnetonka,Minnesota,22
CVS Health Corporation,7,Woonsocket,Rhode Island,22
General Motors Company,8,Detroit,Michigan,22
Ford Motor Company,9,Dearborn,Michigan,22
AT&T,10,Dallas,Texas,22
General Electric Company,11,Fairfield,Connecticut,22
AmerisourceBergen Corp.,12,Chesterbrook,Pennsylvania,22
Verizon Communications,13,New York,New York,22
Chevron Corporation,14,San Ramon,California,22
Costco Wholesale Corporation,15,Issaquah,Washington,22
Fannie Mae,16,Washington,District of Columbia,19
The Kroger Company,17,Cincinnati,Ohio,22
Amazon.com,18,Seattle,Washington,15
Walgreens Boots Alliance,19,Deerfield,Illinois,22
HP,20,Palo Alto,California,22
Cardinal Health,21,Dublin,Ohio,22
Express Scripts Holding Company,22,St. Louis,Missouri,17
JPMorgan Chase & Co.,23,New York,New York,22
The Boeing Company,24,Chicago,Illinois,22
Microsoft Corporation,25,Redmond,Washington,22
Bank of America Corporation,26,Charlotte,North Carolina,22
Wells Fargo & Company,27,San Francisco,California,22
The Home Depot,28,Atlanta,Georgia,22
Citigroup,29,New York,New York,22
Phillips 66,30,Houston,Texas,4
International Business Machines Corporation,31,Armonk,New York,22
Valero Energy Corporation,32,San Antonio,Texas,18
Anthem,33,Indianapolis,Indiana,22
The Procter & Gamble Company,34,Cincinnati,Ohio,22
State Farm Insurance Cos.,35,Bloomington,Illinois,22
Alphabet,36,Mountain View,California,11
Comcast Corporation,37,Philadelphia,Pennsylvania,21
Target Corporation,38,Minneapolis,Minnesota,22
Johnson & Johnson,39,New Brunswick,New Jersey,22
MetLife,40,New York,New York,22
Archer-Daniels-Midland Company,41,Chicago,Illinois,22
Marathon Petroleum Corporation,42,Findlay,Ohio,5
Freddie Mac,43,McLean,Virginia,19
PepsiCo,44,Purchase,New York,22
United Technologies Corporation,45,Farmington,Connecticut,22
Aetna,46,Hartford,Connecticut,16
Lowe's Companies,47,Mooresville,North Carolina,22
United Parcel Service,48,Atlanta,Georgia,22
American International Group,49,New York,New York,22
Prudential Financial,50,Newark,New Jersey,22
Intel Corporation,51,Santa Clara,California,22
Humana,52,Louisville,Kentucky,22
The Walt Disney Company,53,Burbank,California,22
Cisco Systems,54,San Jose,California,20
Pfizer,55,New York,New York,22
The Dow Chemical Company,56,Midland,Michigan,22
Sysco Corporation,57,Houston,Texas,22
FedEx Corporation,58,Memphis,Tennessee,22
Caterpillar,59,Peoria,Illinois,22
Lockheed Martin Corporation,60,Bethesda,Maryland,22
New York Life Insurance Company,61,New York,New York,22
The Coca-Cola Company,62,Atlanta,Georgia,22
HCA Holdings,63,Nashville,Tennessee,22
Ingram Micro,64,Irvine,California,20
Energy Transfer Equity,65,Dallas,Texas,10
Tyson Foods,66,Springdale,Arkansas,22
American Airlines Group,67,Fort Worth,Texas,22
Delta Air Lines,68,Atlanta,Georgia,22
Nationwide Mutual Insurance Co.,69,Columbus,Ohio,22
Johnson Controls,70,Milwaukee,Wisconsin,22
Best Buy Co.,71,Richfield,Minnesota,22
Merck & Co.,72,Kenilworth,New Jersey,22
Liberty Mutual Holding Company,73,Boston,Massachusetts,22
The Goldman Sachs Group,74,New York,New York,17
Honeywell International,75,Morris Plains,New Jersey,22
Massachusetts Mutual Life Insurance Company,76,Springfield,Massachusetts,22
Oracle Corporation,77,Redwood City,California,21
Morgan Stanley,78,New York,New York,22
CIGNA Corporation,79,Bloomfield,Connecticut,22
United Continental Holdings,80,Chicago,Illinois,22
The Allstate Corporation,81,Northbrook,Illinois,21
Teachers Insurance and Annuity Association,82,New York,New York,19
INTL FCStone,83,New York,New York,8
CHS,84,Inver Grove Heights,Minnesota,17
American Express Company,85,New York,New York,22
Gilead Sciences,86,Foster City,California,8
Publix Super Markets,87,Lakeland,Florida,22
General Dynamics Corporation,88,Falls Church,Virginia,22
The TJX Companies,89,Framingham,Massachusetts,22
ConocoPhillips,90,Houston,Texas,22
Nike,91,Beaverton,Oregon,22
World Fuel Services Corporation,92,Miami,Florida,12
3M Company,93,St. Paul,Minnesota,22
Mondelez International,94,Deerfield,Illinois,9
Exelon Corporation,95,Chicago,Illinois,22
Twenty-First Century Fox,96,New York,New York,12
Deere & Company,97,Moline,Illinois,22
Tesoro Corporation,98,San Antonio,Texas,17
Time Warner,99,New York,New York,17
Northwestern Mutual Life Insurance Company,100,Milwaukee,Wisconsin,22
E.I. du Pont de Nemours and Company,101,Wilmington,Delaware,22
Avnet,102,Phoenix,Arizona,22
Macy's,103,Cincinnati,Ohio,22
Enterprise Products Partners L.P.,104,Houston,Texas,11
The Travelers Companies,105,New York,New York,22
Philip Morris International,106,New York,New York,8
Rite Aid Corporation,107,Camp Hill,Pennsylvania,22
Tech Data Corporation,108,Clearwater,Florida,22
McDonald's Corporation,109,Oak Brook,Illinois,22
Qualcomm Incorporated,110,San Diego,California,17
Sears Holdings Corporation,111,Hoffman Estates,Illinois,22
Capital One Financial Corporation,112,McLean,Virginia,17
EMC Corporation,113,Hopkinton,Massachusetts,19
United Services Automobile Association,114,San Antonio,Texas,22
Duke Energy Corporation,115,Charlotte,North Carolina,22
Time Warner Cable,116,New York,New York,7
Halliburton Company,117,Houston,Texas,22
Northrop Grumman Corporation,118,Falls Church,Virginia,22
Arrow Electronics,119,Centennial,Colorado,22
Raytheon Company,120,Waltham,Massachusetts,22
Plains GP Holdings,121,Houston,Texas,3
US Foods Holding Corp.,122,Rosemont,Illinois,5
AbbVie,123,North Chicago,Illinois,3
Centene Corporation,124,St. Louis,Missouri,7
Community Health Systems,125,Franklin,Tennessee,10
Alcoa,126,New York,New York,22
International Paper Company,127,Memphis,Tennessee,22
Emerson Electric Co.,128,St. Louis,Missouri,22
Union Pacific Corporation,129,Omaha,Nebraska,22
Amgen,130,Thousand Oaks,California,17
U.S. Bancorp,131,Minneapolis,Minnesota,18
Staples,132,Framingham,Massachusetts,21
Danaher Corporation,133,Washington,District of Columbia,18
Whirlpool Corporation,134,Benton Harbor,Michigan,22
Aflac Incorporated,135,Columbus,Georgia,22
AutoNation,136,Fort Lauderdale,Florida,19
The Progressive Corporation,137,Mayfield Village,Ohio,22
Abbott Laboratories,138,Abbott Park,Illinois,22
Dollar General Corporation,139,Goodlettsville,Tennessee,18
Tenet Healthcare Corporation,140,Dallas,Texas,22
Eli Lilly and Company,141,Indianapolis,Indiana,22
Southwest Airlines Co.,142,Dallas,Texas,22
Penske Automotive Group,143,Bloomfield Hills,Michigan,18
ManpowerGroup,144,Milwaukee,Wisconsin,22
Kohl's Corporation,145,Menomonee Falls,Wisconsin,19
Starbucks Corporation,146,Seattle,Washington,14
PACCAR Inc,147,Bellevue,Washington,22
Cummins,148,Columbus,Indiana,22
Altria Group,149,Richmond,Virginia,22
Xerox Corporation,150,Norwalk,Connecticut,22
Kimberly-Clark Corporation,151,Irving,Texas,22
The Hartford Financial Services Group,152,Hartford,Connecticut,21
The Kraft Heinz Company,153,Pittsburgh,Pennsylvania,22
Lear Corporation,154,Southfield,Michigan,22
Fluor Corporation,155,Irving,Texas,15
AECOM,156,Los Angeles,California,8
Facebook,157,Menlo Park,California,4
Jabil Circuit,158,St. Petersburg,Florida,15
CenturyLink,159,Monroe,Lousiana,7
Supervalu,160,Eden Prairie,Minnesota,22
General Mills,161,Minneapolis,Minnesota,22
The Southern Company,162,Atlanta,Georgia,22
NextEra Energy,163,Juno Beach,Florida,22
Thermo Fisher Scientific,164,Waltham,Massachusetts,14
American Electric Power Company,165,Columbus,Ohio,22
PG&E Corporation,166,San Francisco,California,22
NGL Energy Partners LP,167,Tulsa,Oklahoma,2
Bristol-Myers Squibb Company,168,New York,New York,22
The Goodyear Tire & Rubber Company,169,Akron,Ohio,22
Nucor Corporation,170,Charlotte,North Carolina,22
The PNC Financial Services Group,171,Pittsburgh,Pennsylvania,22
Health Net,172,Woodland Hills,California,22
Micron Technology,173,Boise,Idaho,19
Colgate-Palmolive Company,174,New York,New York,22
Freeport-McMoRan,175,Phoenix,Arizona,11
ConAgra Foods,176,Omaha,Nebraska,22
The Gap,177,San Francisco,California,22
Baker Hughes Incorporated,178,Houston,Texas,22
The Bank of New York Mellon Corporation,179,New York,New York,22
Dollar Tree,180,Chesapeake,Virginia,8
Whole Foods Market,181,Austin,Texas,12
PPG Industries,182,Pittsburgh,Pennsylvania,22
Genuine Parts Company,183,Atlanta,Georgia,22
Icahn Enterprises L.P.,184,New York,New York,8
Performance Food Group Company,185,Richmond,Virginia,8
Omnicom Group,186,New York,New York,20
DISH Network Corporation,187,Englewood,Colorado,15
FirstEnergy Corp.,188,Akron,Ohio,21
Monsanto Company,189,St. Louis,Missouri,13
The AES Corporation,190,Arlington,Virginia,16
CarMax,191,Richmond,Virginia,13
National Oilwell Varco,192,Houston,Texas,11
NRG Energy,193,Princeton,New Jersey,10
Western Digital Corporation,194,Irvine,California,13
Marriott International,195,Bethesda,Maryland,18
Office Depot,196,Boca Raton,Florida,22
Nordstrom,197,Seattle,Washington,22
Kinder Morgan,198,Houston,Texas,13
Aramark,199,Philadelphia,Pennsylvania,22
DaVita HealthCare Partners,200,Denver,Colorado,10
Molina Healthcare,201,Long Beach,California,5
WellCare Health Plans,202,Tampa,Florida,8
CBS Corporation,203,New York,New York,22
Visa,204,Foster City,California,8
Lincoln National Corporation,205,Radnor,Pennsylvania,22
Ecolab,206,St. Paul,Minnesota,14
Kellogg Company,207,Battle Creek,Michigan,22
C. H. Robinson Worldwide,208,Eden Prairie,Minnesota,15
Textron,209,Providence,Rhode Island,22
Loews Corporation,210,New York,New York,22
Illinois Tool Works,211,Glenview,Illinois,22
Synnex Corporation,212,Fremont,California,10
Viacom,213,New York,New York,11
HollyFrontier Corporation,214,Dallas,Texas,9
Land O'Lakes,215,Arden Hills,Minnesota,14
Devon Energy Corporation,216,Oklahoma City,Oklahoma,15
PBF Energy,217,Parsippany,New Jersey,4
Yum! Brands,218,Louisville,Kentucky,18
Texas Instruments Incorporated,219,Dallas,Texas,22
CDW Corporation,220,Lincolnshire,Illinois,12
Waste Management,221,Houston,Texas,18
Marsh & McLennan Companies,222,New York,New York,22
Chesapeake Energy Corporation,223,Oklahoma City,Oklahoma,11
Parker-Hannifin Corporation,224,Cleveland,Ohio,22
Occidental Petroleum Corporation,225,Houston,Texas,22
Guardian Life Ins. Co. of America,226,New York,New York,22
Farmers Insurance Exchange,227,Woodland Hills,California,2
J.C. Penney Company,228,Plano,Texas,22
Consolidated Edison,229,New York,New York,22
Cognizant Technology Solutions Corporation,230,Teaneck,New Jersey,6
V.F. Corporation,231,Greensboro,North Carolina,22
Ameriprise Financial,232,Minneapolis,Minnesota,10
Computer Sciences Corporation,233,Falls Church,Virginia,22
L Brands,234,Columbus,Ohio,22
Jacobs Engineering Group,235,Pasadena,California,16
Principal Financial Group,236,Des Moines,Iowa,22
Ross Stores,237,Dublin,California,14
Bed Bath & Beyond,238,Union,New Jersey,13
CSX Corporation,239,Jacksonville,Florida,22
"Toys ""R"" Us",240,Wayne,New Jersey,22
Las Vegas Sands Corp.,241,Las Vegas,Nevada,7
Leucadia National Corporation,242,New York,New York,4
Dominion Resources,243,Richmond,Virginia,22
United States Steel Corporation,244,Pittsburgh,Pennsylvania,14
L-3 Communications Holdings,245,New York,New York,14
Edison International,246,Rosemead,California,22
Entergy Corporation,247,New Orleans,Lousiana,22
Automatic Data Processing,248,Roseland,New Jersey,22
First Data Corporation,249,Atlanta,Georgia,22
BlackRock,250,New York,New York,9
WestRock Company,251,Richmond,Virginia,5
Voya Financial,252,New York,New York,2
The Sherwin-Williams Company,253,Cleveland,Ohio,22
