"","form_sans","form_serif","form_callig","class_grotesque","class_geom","class_geom-square","class_humanist","class_transitional","class_oldstyle","class_clarendon","class_slab","class_glyphic","class_casual","class_didone","class_monotype","class_amp","family_helvetica","family_futura","family_eurostile","family_gillsans","family_bauhaus","family_kepler","family_times","family_bembo","family_clarendon","family_rockwell","family_comfortaa","family_centaur","family_copperplate-gothic","family_nadianne","family_bodoni","family_trajan","family_americana","family_monotype","ver_bold","ver_cb","ver_bi","ver_wide","ver_light","ver_orig","ver_wb","ver_co","ver_cbi","ver_italic","ver_wbi","ver_wi","ver_ci","ver_wl","ver_wli","ver_li","width_condensed","width_wide","width_orig","width_has_condensed","width_has_wide","width_has_orig","width_mixed","weight_bold","weight_light","weight_orig","weight_has_bold","weight_has_light","weight_has_orig","weight_mixed","style_italic","style_orig","style_has_italic","style_has_orig","style_mixed"
"baxter-international",3,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,1,0,0,5,0,0,1,0,0,0,5,0,1,0,0
"bbt",1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,2,0,1,1,0,1,1,0,3,0,1,0
"bcg",1,15,2,0,1,0,0,8,0,1,0,2,0,6,0,0,0,1,0,0,0,6,8,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,5,9,0,1,0,0,0,0,0,1,0,0,2,1,15,0,0,1,0,2,6,10,0,1,1,1,0,18,0,1,0
"becton-dickinson-and-company",7,1,0,1,4,1,1,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,3,3,0,1,1,1,8,0,0,1,0,0,0,1,7,0,1,0
"bed-bath-and-beyond",16,0,0,3,7,4,1,0,0,0,0,0,0,0,0,1,3,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,7,2,1,0,0,0,0,0,0,0,0,5,2,9,1,0,1,1,8,0,8,1,0,1,1,0,16,0,1,0
"berkshire-hathaway",4,13,2,0,2,0,2,12,0,0,0,2,0,1,0,0,0,2,0,2,0,0,12,0,0,0,0,0,2,0,1,0,0,0,16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0,1,0,18,0,1,1,0,0,0,0,19,0,1,0
"best-buy",5,2,0,3,1,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,6,1,0,1,0,0,6,0,1,1,0,0,0,2,5,1,1,1
"big-lots",7,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,3,0,4,1,0,1,1,0,7,0,1,0
"biogen-idec-inc",8,2,2,2,2,0,4,0,0,0,0,2,0,0,2,0,2,1,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,2,3,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,1,0,4,0,8,1,0,1,1,0,12,0,1,0
"black-and-decker",12,0,0,9,0,1,1,0,0,0,0,0,0,0,0,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,11,0,1,1,0,0,0,0,12,0,1,0
